"21","Nissan","1","purpletiger344","b'$2b$12$YUU3qB4psJtJmHWsgOc1iuZFP/QyumrchmfBumDA7enT1GgKjMMTW'","leander.jochum@example.com","0696-0066725"
"22","Hyundai","1","tinybear138","b'$2b$12$YepPQcTNhVcSD.exq.iUq.1cbev0lnpW5Ci4..ED8lDBiAkwRDK5a'","abelardo.melo@example.com","(18) 1785-4877"
"23","Artega","0","organiclion876","b'$2b$12$c17FGc2AtXM60dZnOmNMuuKq1JD72TTaLJ9EKqVUYpGe4pUzYEvQW'","iker.soto@example.com","957-093-942"
"24","Tesla","1","bigmeercat379","b'$2b$12$m2aueBaG1LuWoQKA5Fu/C.n.aO/gg0TDH2wik49fB7dOURFs1CivG'","omur.sepetci@example.com","(911)-500-4082"
"25","Fiat","1","orangeleopard194","b'$2b$12$AuI8qMCmG/uiIgwVLbcnROvyphW6Q16PlVf.D22cAf2hbArI7k5yO'","gavin.stevens@example.com","015394 26599"
"26","e.GO Mobile","0","goldendog809","b'$2b$12$RUyA4/gzVG1wN4tuCBVJuuRqIjrUVsp6ECvK4QH/avFIUbNWeT37O'","sofia.hansen@example.com","51749467"
"27","Aiways","0","greenbird805","b'$2b$12$0Cwh.d/e/l2mhsfhA1erI.acqKd1jLXk81pXwmSgegMnVIO6TJQvu'","diocleia.porto@example.com","(48) 9946-8604"
"28","Seat","1","beautifulgoose610","b'$2b$12$tr1nGaMHNJYppCjWat4QjednoKIjiNi.XR8L6Rbnf4zsEcy3B/y.S'","william.pierre@example.com","02-93-80-90-19"
"29","Skoda","0","redladybug658","b'$2b$12$A8JFKXbF1zlGQE8f85RbieaPyiAmQ9EM.fimXKvJtuccgjLyKLhA2'","roselaine.desouza@example.com","(33) 5553-1651"
"30","Volvo","0","whiteladybug876","b'$2b$12$fvf9z.vkB2gz8tipT6TNoOGNeraj72aFykp9ByBIT08xbVrgALHP.'","pry.khmrw@example.com","009-60739523"
"31","Kia","0","lazycat254","b'$2b$12$Bpj1o.prQScxF7ORgH1gRegDQZu14hpasxLLl9wY4Pw4FQWmUX/rK'","jeff.hopkins@example.com","031-907-0865"
"32","Citroen","1","greenwolf709","b'$2b$12$QaADnnxXkRzk6s9D8jO7nuXGphuvwA/83xVw1H9pZjKt9BqulwSNe'","gene.mitchell@example.com","021-004-5701"
